Feature Order For Data:   videoAddiction exercising smoking fatIntake


sample_0         none             regularly        medium           heavy
sample_1         low              regularly        heavy            low
sample_2         low              regularly        never            heavy
sample_3         heavy            regularly        heavy            heavy
sample_4         medium           never            never            medium
sample_5         heavy            occasionally     never            medium
sample_6         low              occasionally     never            low
sample_7         low              regularly        never            low
sample_8         medium           regularly        light            low
sample_9         heavy            regularly        heavy            medium
sample_10        low              regularly        never            heavy
sample_11        heavy            regularly        never            low
sample_12        heavy            occasionally     medium           medium
sample_13        low              occasionally     heavy            medium
sample_14        none             never            heavy            low
sample_15        low              regularly        heavy            heavy
sample_16        low              occasionally     never            medium
sample_17        medium           regularly        light            medium
sample_18        none             occasionally     never            medium
sample_19        medium           regularly        heavy            medium
sample_20        medium           occasionally     medium           medium
sample_21        heavy            regularly        light            low
sample_22        heavy            occasionally     never            medium
sample_23        low              occasionally     medium           heavy
sample_24        none             never            heavy            heavy
sample_25        medium           regularly        heavy            low
sample_26        low              regularly        medium           low
sample_27        heavy            occasionally     medium           low
sample_28        medium           occasionally     heavy            low
sample_29        medium           regularly        never            low
